src/actividad1/HoraMain.java:56:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad1/HoraMain.java:61:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/HoraMain.java:61:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'tHoraExacta1' is not assigned and could be declared final
src/actividad2/Directivo.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/actividad2/Directivo.java:5:	CommentRequired:	CommentRequired: Protected method constructor comments are required
src/actividad2/Directivo.java:5:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad2/Directivo.java:10:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad2/Directivo.java:12:	UnusedAssignment:	UnusedAssignment: The value assigned to variable 'nombreYFuncion' is never used
src/actividad2/Empleado.java:20:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad2/Empleado.java:21:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad2/Empleado.java:21:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad2/Empleado.java:37:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad2/Empleado.java:41:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad2/Oficial.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/actividad2/Oficial.java:5:	CommentRequired:	CommentRequired: Protected method constructor comments are required
src/actividad2/Oficial.java:5:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad2/Oficial.java:10:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad2/Oficial.java:12:	UnusedAssignment:	UnusedAssignment: The value assigned to variable 'nombreYFuncion' is never used
src/actividad2/Operario.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/actividad2/Operario.java:5:	CommentRequired:	CommentRequired: Protected method constructor comments are required
src/actividad2/Operario.java:5:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad2/Operario.java:10:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad2/Operario.java:12:	UnusedAssignment:	UnusedAssignment: The value assigned to variable 'nombreYFuncion' is never used
src/actividad2/Tecnico.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/actividad2/Tecnico.java:5:	CommentRequired:	CommentRequired: Protected method constructor comments are required
src/actividad2/Tecnico.java:5:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad2/Tecnico.java:10:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad2/Tecnico.java:12:	UnusedAssignment:	UnusedAssignment: The value assigned to variable 'nombreYFuncion' is never used
src/actividad3/ArrayProductos.java:9:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/actividad3/ArrayProductos.java:10:	CommentDefaultAccessModifier:	CommentDefaultAccessModifier: Missing commented default access modifier on field 'productos'
src/actividad3/ArrayProductos.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/actividad3/ArrayProductos.java:10:	MutableStaticState:	MutableStaticState: Do not use non-final non-private static fields
src/actividad3/ArrayProductos.java:16:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/ArrayProductos.java:20:	UselessParentheses:	UselessParentheses: Useless parentheses.
src/actividad3/ArrayProductos.java:25:	SimplifyBooleanExpressions:	SimplifyBooleanExpressions: Avoid unnecessary comparisons in boolean expressions
src/actividad3/ArrayProductos.java:41:	MethodNamingConventions:	MethodNamingConventions: The static method name 'ListarroductosArray' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad3/ArrayProductos.java:42:	ForLoopCanBeForeach:	ForLoopCanBeForeach: This for loop can be replaced by a foreach loop
src/actividad3/ArrayProductos.java:44:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad3/ArrayProductos.java:55:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/ArrayProductos.java:55:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'precio' is not assigned and could be declared final
src/actividad3/ArrayProductos.java:55:	MethodNamingConventions:	MethodNamingConventions: The static method name 'EliminarproductoArray' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad3/ArrayProductos.java:58:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'producto' could be declared final
src/actividad3/ArrayProductos.java:60:	UselessParentheses:	UselessParentheses: Useless parentheses.
src/actividad3/ArrayProductos.java:62:	NullAssignment:	NullAssignment: Assigning an Object to null is a code smell.  Consider refactoring.
src/actividad3/NoPerecedero.java:21:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/NoPerecedero.java:21:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'precio' is not assigned and could be declared final
src/actividad3/NoPerecedero.java:21:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'tipo' is not assigned and could be declared final
src/actividad3/NoPerecedero.java:24:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad3/NoPerecedero.java:24:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad3/NoPerecedero.java:33:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'cantidadProductos' is not assigned and could be declared final
src/actividad3/NoPerecedero.java:33:	MissingOverride:	MissingOverride: The method 'calcular(int)' is missing an @Override annotation.
src/actividad3/NoPerecedero.java:34:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'resultado' could be declared final
src/actividad3/NoPerecedero.java:34:	UnnecessaryLocalBeforeReturn:	UnnecessaryLocalBeforeReturn: Consider simply returning the value vs storing it in local variable 'resultado'
src/actividad3/NoPerecedero.java:41:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad3/NoPerecedero.java:43:	UnusedAssignment:	UnusedAssignment: The value assigned to variable 'nombreYFuncion' is never used
src/actividad3/NoPerecedero.java:56:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'tipo' is not assigned and could be declared final
src/actividad3/NoPerecedero.java:57:	CompareObjectsWithEquals:	CompareObjectsWithEquals: Use equals() to compare object references.
src/actividad3/NoPerecedero.java:57:	UseEqualsToCompareStrings:	UseEqualsToCompareStrings: Use equals() to compare strings instead of '==' or '!='
src/actividad3/Perecedero.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/actividad3/Perecedero.java:18:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'diasCaducar' is not assigned and could be declared final
src/actividad3/Perecedero.java:18:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/actividad3/Perecedero.java:18:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'precio' is not assigned and could be declared final
src/actividad3/Perecedero.java:21:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method called during object construction: Perecedero.setDiasCaducar(int) 
src/actividad3/Perecedero.java:30:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad3/Perecedero.java:32:	UnusedAssignment:	UnusedAssignment: The value assigned to variable 'nombreYFuncion' is never used
src/actividad3/Perecedero.java:45:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'diasCaducar' is not assigned and could be declared final
src/actividad3/Perecedero.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'cantidadProductos' is not assigned and could be declared final
src/actividad3/Perecedero.java:49:	MissingOverride:	MissingOverride: The method 'calcular(int)' is missing an @Override annotation.
src/actividad3/Perecedero.java:51:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad3/Perecedero.java:54:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
